,Customer Name,Actual Value,predicted value,Difference
96,SSSS,5,4.273441693216635,0.7265583067833647
35,JJ,3,3.8585146177954397,-0.8585146177954397
81,DDDD,2,3.6965622359902723,-1.6965622359902723
59,HHH,0,3.6845409239905043,-3.6845409239905043
38,MM,3,3.820253622514033,-0.8202536225140329
39,NN,3,3.9767865036591292,-0.9767865036591292
53,BBB,3,3.899703150490411,-0.8997031504904109
85,HHHH,5,4.576189525182033,0.42381047481796674
31,FF,2,3.7218831705907873,-1.7218831705907873
56,EEE,6,4.296999613606444,1.7030003863935557
98,UUUU,9,7.634279959761565,1.3657200402384353
46,UU,4,4.1097476031233,-0.10974760312330023
91,NNNN,3,3.795448654528568,-0.7954486545285682
58,GGG,3,4.181933206576042,-1.1819332065760424
33,HH,3,3.7539199422510023,-0.7539199422510023
88,KKKK,3,3.733937363915128,-0.7339373639151279
103,ZZZZ,3,3.8120970866642194,-0.8120970866642194
80,CCCC,7,5.099076593851952,1.9009234061480482
17,R,3,3.7353929432278887,-0.7353929432278887
101,XXXX,3,4.00651235504009,-1.0065123550400896
67,PPP,2,3.89173019712797,-1.8917301971279699
82,EEEE,6,4.786780109108612,1.2132198908913878
66,OOO,3,3.7710516350665557,-0.7710516350665557
44,SS,2,3.9873564525578598,-1.9873564525578598
42,QQ,3,3.822083332560359,-0.8220833325603589
40,OO,5,6.978924373050326,-1.9789243730503259
83,FFFF,1,3.687366414088056,-2.687366414088056
86,IIII,5,4.363709956125009,0.6362900438749914
48,WW,3,3.79301977314278,-0.7930197731427802
36,KK,3,3.740969543436358,-0.7409695434363579
10,K,4,4.02186039373005,-0.021860393730049665
2,C,3,3.8131147497300257,-0.8131147497300257
