,Customer Name,Actual Value,predicted value,Difference
38,AJ,4.586666666666667,3.096056517483959,1.4906101491827077
44,V123,4.453333333333333,2.9172019824590762,1.536131350874257
27,Guddu,9.666666666666666,2.28543541936921,7.381231247297456
40,sk9,5.613333333333333,3.1250591602858493,2.488274173047484
36,arihaa,3.8866666666666667,2.4447330123460254,1.4419336543206414
82,SV,4.566666666666666,2.6823048095148385,1.884361857151828
58,301,1.2633333333333334,2.1070264121883118,-0.8436930788549784
69,vidsy,8.633333333333333,3.915379374483405,4.717953958849928
86,4040,3.8866666666666667,2.5771999504790877,1.309466716187579
56,Raj,6.886666666666667,4.001502905360588,2.885163761306079
67,vidsy_SCH2,0.33,2.7583821369649133,-2.4283821369649132
53,himanshu_cust,6.826666666666667,3.1657408828503177,3.6609257838163494
48,NEWCURR,3.776666666666667,2.60871089760381,1.167955769062857
66,107,4.0,2.220936871683353,1.779063128316647
63,Anuj,4.113333333333333,3.522203295322749,0.5911300380105842
10,5050,0.22,2.53725420795747,-2.3172542079574696
2,ORAILDESIGNS,7.496666666666667,-0.6605128263328517,8.157179492999518
35,Suzen,3.89,2.5629013985082096,1.3270986014917905
68,GST,4.113333333333333,2.5781296546993837,1.5352036786339496
45,GCJ,6.573333333333333,3.2856023901428113,3.287730943190522
19,Sk5,2.1,2.759521924857711,-0.6595219248577111
81,1010,0.22,2.788621535197558,-2.5686215351975576
34,sk8,1.8333333333333333,2.7333865249079192,-0.900053191574586
32,vi,4.8933333333333335,4.374540378781156,0.5187929545521772
31,sk18,0.22,2.616330949546329,-2.396330949546329
43,smtosh,3.8866666666666667,2.549876121595214,1.3367905450714526
62,munna,0.22,2.4093757325884955,-2.1893757325884953
