,Customer Name,Actual Value,predicted value,Difference
38,AJ,4.586666666666667,5.285957926082135,-0.6992912594154683
44,V123,4.453333333333333,1.9897774546619642,2.463555878671369
27,Guddu,9.666666666666666,258038225.17019075,-258038215.5035241
40,sk9,5.613333333333333,122.71591718402726,-117.10258385069393
36,arihaa,3.8866666666666667,1.9124704029616422,1.9741962637050245
82,SV,4.566666666666666,2.667181317097633,1.8994853495690336
58,301,1.2633333333333334,1.9143230580192634,-0.65098972468593
69,vidsy,8.633333333333333,18562414.095606808,-18562405.462273475
86,4040,3.8866666666666667,1.9124706411231338,1.974196025543533
56,Raj,6.886666666666667,-5837.797937187229,5844.684603853895
67,vidsy_SCH2,0.33,1.9124719241926786,-1.5824719241926786
53,himanshu_cust,6.826666666666667,870538.6206592566,-870531.7939925899
48,NEWCURR,3.776666666666667,1.948080173683486,1.8285864929831808
66,107,4.0,1.9124704061678004,2.0875295938321994
63,Anuj,4.113333333333333,1.8847920289095828,2.2285413044237505
10,5050,0.22,1.912470405788912,-1.692470405788912
2,ORAILDESIGNS,7.496666666666667,395797.748733697,-395790.25206703035
35,Suzen,3.89,1.9124704057891122,1.977529594210888
68,GST,4.113333333333333,1.9280536245762407,2.1852797087570925
45,GCJ,6.573333333333333,845.8770328801612,-839.3036995468278
19,Sk5,2.1,3.5437217549246927,-1.4437217549246926
81,1010,0.22,1.9124711220454182,-1.6924711220454183
34,sk8,1.8333333333333333,2.4417650187937276,-0.6084316854603944
32,vi,4.8933333333333335,-756.1056093416516,760.998942674985
31,sk18,0.22,1.912470405850101,-1.692470405850101
43,smtosh,3.8866666666666667,1.9142183257174425,1.9724483409492242
62,munna,0.22,1.9124704074108765,-1.6924704074108765
