,Customer Name,Actual Value,predicted value,Difference
38,AJ,4.586666666666667,3.7373333333333334,0.8493333333333335
44,V123,4.453333333333333,4.177333333333334,0.2759999999999989
27,Guddu,9.666666666666666,8.757,0.9096666666666664
40,sk9,5.613333333333333,6.04,-0.42666666666666675
36,arihaa,3.8866666666666667,3.0266666666666664,0.8600000000000003
82,SV,4.566666666666666,3.978333333333334,0.5883333333333325
58,301,1.2633333333333334,2.4929999999999994,-1.229666666666666
69,vidsy,8.633333333333333,8.083,0.5503333333333327
86,4040,3.8866666666666667,3.9203333333333332,-0.03366666666666651
56,Raj,6.886666666666667,6.933666666666667,-0.0470000000000006
67,vidsy_SCH2,0.33,0.22000000000000003,0.10999999999999999
53,himanshu_cust,6.826666666666667,7.206999999999999,-0.38033333333333186
48,NEWCURR,3.776666666666667,3.7659999999999996,0.010666666666667268
66,107,4.0,2.893333333333333,1.106666666666667
63,Anuj,4.113333333333333,2.508,1.6053333333333333
10,5050,0.22,0.17600000000000002,0.043999999999999984
2,ORAILDESIGNS,7.496666666666667,7.105666666666667,0.391
35,Suzen,3.89,0.38299999999999995,3.507
68,GST,4.113333333333333,4.101999999999999,0.011333333333333862
45,GCJ,6.573333333333333,5.863333333333333,0.71
19,Sk5,2.1,3.3806666666666674,-1.2806666666666673
81,1010,0.22,0.22000000000000003,-2.7755575615628914e-17
34,sk8,1.8333333333333333,2.475333333333334,-0.6420000000000006
32,vi,4.8933333333333335,3.081666666666666,1.8116666666666674
31,sk18,0.22,0.22000000000000003,-2.7755575615628914e-17
43,smtosh,3.8866666666666667,3.7430000000000008,0.14366666666666594
62,munna,0.22,0.22000000000000003,-2.7755575615628914e-17
