,Customer Name,Actual Value,predicted value,Difference
38,AJ,4.586666666666667,3.3171277667794867,1.2695388998871802
44,V123,4.453333333333333,3.2182413446390568,1.2350919886942764
27,Guddu,9.666666666666666,5.251316254591488,4.415350412075178
40,sk9,5.613333333333333,3.5859235476735334,2.0274097856598
36,arihaa,3.8866666666666667,3.176978155582094,0.7096885110845728
82,SV,4.566666666666666,3.2223744985242257,1.3442921681424407
58,301,1.2633333333333334,3.181294213779425,-1.9179608804460917
69,vidsy,8.633333333333333,5.095519083318587,3.537814250014746
86,4040,3.8866666666666667,3.177218708235317,0.7094479584313498
56,Raj,6.886666666666667,4.683307556588835,2.203359110077832
67,vidsy_SCH2,0.33,3.1769066024551824,-2.8469066024551823
53,himanshu_cust,6.826666666666667,5.006845005101077,1.81982166156559
48,NEWCURR,3.776666666666667,3.205200787988943,0.5714658786777238
66,107,4.0,3.1769388596626453,0.8230611403373547
63,Anuj,4.113333333333333,3.187713626844907,0.9256197064884262
10,5050,0.22,3.1769067377740505,-2.9569067377740503
2,ORAILDESIGNS,7.496666666666667,6.477283252833187,1.0193834138334799
35,Suzen,3.89,3.176913868105303,0.713086131894697
68,GST,4.113333333333333,3.193360986277488,0.9199723470558454
45,GCJ,6.573333333333333,3.477579525055445,3.0957538082778884
19,Sk5,2.1,3.268021865958399,-1.1680218659583987
81,1010,0.22,3.1769066510076076,-2.9569066510076074
34,sk8,1.8333333333333333,3.24434723152536,-1.4110138981920268
32,vi,4.8933333333333335,3.306949402371342,1.5863839309619916
31,sk18,0.22,3.1769067535317506,-2.9569067535317504
43,smtosh,3.8866666666666667,3.186283886609915,0.7003827800567519
62,munna,0.22,3.176906899965733,-2.9569068999657326
